Crime_ID,City,Latitude,Longitude,Crime_Type,Date,Year,Month,Day_of_Week,Hour,Area_Type,Safety_Score,Police_Response_Time,Status
CR000038,Delhi,28.595,77.257,Theft,2025-03-25,2025,3,Tuesday,19,Mixed,4.4,37,Resolved
CR000039,Chennai,13.0726,80.2823,Assault,2025-05-02,2025,5,Friday,14,Commercial,3.9,36,Under Investigation
CR000040,Chennai,13.1011,80.2823,Fraud,2025-02-13,2025,2,Thursday,5,Industrial,3.8,24,Resolved
CR000041,Mumbai,19.0833,72.8406,Domestic Violence,2024-08-28,2024,8,Wednesday,22,Residential,3.2,44,Open
CR000042,Mumbai,19.0299,72.8895,Burglary,2025-07-31,2025,7,Thursday,13,Commercial,4.5,38,Resolved
CR000043,Pune,18.4822,73.8764,Assault,2024-09-11,2024,9,Wednesday,6,Residential,3.3,40,Resolved
CR000044,Jaipur,26.9193,75.7949,Assault,2024-04-29,2024,4,Monday,14,Mixed,4.3,27,Open
CR000045,Chennai,13.0566,80.2887,Assault,2025-01-29,2025,1,Wednesday,16,Residential,3.5,26,Resolved
CR000046,Bangalore,12.9605,77.5457,Fraud,2025-08-14,2025,8,Thursday,14,Industrial,4.9,23,Resolved
CR000047,Chennai,13.0419,80.2809,Assault,2024-07-17,2024,7,Wednesday,19,Residential,4.4,43,Resolved
CR000048,Lucknow,26.8941,80.9958,Theft,2025-05-19,2025,5,Monday,21,Commercial,3.1,16,Under Investigation
CR000049,Lucknow,26.8585,80.9063,Theft,2024-01-15,2024,1,Monday,11,Industrial,3.2,6,Resolved
CR000050,Chennai,13.056,80.2788,Domestic Violence,2024-11-21,2024,11,Thursday,20,Residential,4.8,8,Resolved
CR000051,Bangalore,12.9993,77.6004,Burglary,2024-05-16,2024,5,Thursday,9,Residential,3.5,32,Resolved
CR000052,Kolkata,22.5345,88.3257,Assault,2025-10-28,2025,10,Tuesday,18,Residential,2.7,29,Under Investigation
CR000053,Hyderabad,17.3786,78.5169,Vandalism,2025-05-09,2025,5,Friday,6,Commercial,4.7,25,Open
CR000054,Chennai,13.058,80.2902,Theft,2025-09-12,2025,9,Friday,17,Industrial,4.1,5,Under Investigation
CR000055,Hyderabad,17.3734,78.5104,Fraud,2024-12-03,2024,12,Tuesday,22,Mixed,4.7,28,Under Investigation
CR000056,Ahmedabad,22.9895,72.5861,Burglary,2024-12-17,2024,12,Tuesday,16,Residential,2.2,40,Open
CR000057,Hyderabad,17.3382,78.4647,Burglary,2024-07-25,2024,7,Thursday,18,Commercial,2.5,39,Under Investigation
CR000058,Mumbai,19.0677,72.8858,Fraud,2025-10-19,2025,10,Sunday,22,Residential,4.6,9,Resolved
CR000059,Delhi,28.6417,77.207,Murder,2025-01-20,2025,1,Monday,14,Industrial,4.9,17,Resolved
CR000060,Jaipur,26.9039,75.7646,Theft,2024-05-29,2024,5,Wednesday,18,Residential,3.6,42,Open
CR000061,Pune,18.5473,73.9012,Domestic Violence,2025-06-06,2025,6,Friday,12,Residential,2.6,17,Resolved
CR000062,Delhi,28.6311,77.2208,Burglary,2025-08-18,2025,8,Monday,5,Commercial,3.5,7,Resolved
CR000063,Delhi,28.6191,77.2151,Fraud,2024-09-23,2024,9,Monday,10,Industrial,2.1,41,Under Investigation
CR000064,Mumbai,19.1065,72.918,Assault,2024-12-27,2024,12,Friday,16,Industrial,3.2,38,Resolved
CR000065,Hyderabad,17.3801,78.5277,Theft,2025-07-15,2025,7,Tuesday,20,Mixed,4.8,14,Open
CR000066,Lucknow,26.8736,80.9028,Theft,2025-09-06,2025,9,Saturday,13,Industrial,2.6,15,Resolved
CR000067,Jaipur,26.9084,75.7958,Burglary,2024-05-27,2024,5,Monday,11,Residential,4.1,7,Under Investigation
CR000068,Mumbai,19.0862,72.8501,Domestic Violence,2024-07-20,2024,7,Saturday,12,Residential,2.5,10,Resolved
CR000069,Jaipur,26.898,75.8267,Theft,2023-10-30,2023,10,Monday,18,Residential,2.1,26,Resolved
CR000070,Delhi,28.5916,77.2396,Assault,2025-02-18,2025,2,Tuesday,23,Mixed,3.6,26,Resolved
CR000071,Pune,18.5235,73.8788,Theft,2023-11-30,2023,11,Thursday,12,Industrial,4.1,27,Resolved
CR000072,Mumbai,19.0707,72.881,Theft,2024-02-06,2024,2,Tuesday,14,Residential,2.1,21,Resolved
CR000073,Lucknow,26.8502,80.9195,Burglary,2025-10-04,2025,10,Saturday,18,Residential,4.4,22,Resolved
CR000074,Hyderabad,17.3937,78.5112,Burglary,2024-03-13,2024,3,Wednesday,14,Mixed,3.0,30,Under Investigation
CR000075,Ahmedabad,23.0223,72.5544,Fraud,2024-08-18,2024,8,Sunday,9,Industrial,2.5,8,Under Investigation
CR000076,Ahmedabad,23.0622,72.5294,Robbery,2025-09-19,2025,9,Friday,18,Commercial,5.0,6,Resolved
CR000077,Kolkata,22.5231,88.4114,Robbery,2024-04-03,2024,4,Wednesday,22,Mixed,3.7,30,Resolved
CR000078,Chennai,13.0514,80.2531,Burglary,2025-03-18,2025,3,Tuesday,18,Residential,3.6,30,Under Investigation
CR000079,Hyderabad,17.3931,78.4521,Robbery,2025-02-12,2025,2,Wednesday,7,Commercial,3.0,9,Resolved
CR000080,Mumbai,19.0582,72.9087,Theft,2024-02-24,2024,2,Saturday,0,Industrial,2.4,28,Under Investigation
CR000081,Bangalore,12.9565,77.6376,Domestic Violence,2025-03-07,2025,3,Friday,14,Industrial,4.8,13,Resolved
CR000082,Bangalore,12.9282,77.6187,Assault,2024-11-14,2024,11,Thursday,10,Commercial,4.4,34,Under Investigation
CR000083,Chennai,13.1142,80.2872,Robbery,2025-06-19,2025,6,Thursday,13,Commercial,3.8,44,Resolved
CR000084,Ahmedabad,23.0102,72.5677,Burglary,2025-10-06,2025,10,Monday,15,Residential,3.7,37,Resolved
CR000085,Mumbai,19.0804,72.9183,Assault,2025-04-14,2025,4,Monday,22,Mixed,3.9,19,Under Investigation
CR000086,Delhi,28.6172,77.2484,Domestic Violence,2024-04-27,2024,4,Saturday,19,Industrial,4.1,37,Resolved
CR000087,Hyderabad,17.4064,78.4861,Domestic Violence,2025-07-03,2025,7,Thursday,20,Mixed,2.3,28,Under Investigation
CR000088,Ahmedabad,22.9875,72.5443,Assault,2025-06-21,2025,6,Saturday,3,Mixed,3.8,40,Under Investigation
CR000089,Chennai,13.1154,80.3166,Burglary,2025-06-17,2025,6,Tuesday,14,Commercial,3.4,16,Open
CR000090,Ahmedabad,23.0231,72.5825,Theft,2023-12-16,2023,12,Saturday,22,Mixed,3.7,9,Open
CR000091,Ahmedabad,23.0376,72.5985,Burglary,2025-09-08,2025,9,Monday,18,Commercial,4.8,15,Resolved
CR000092,Chennai,13.1312,80.3046,Theft,2025-10-28,2025,10,Tuesday,21,Mixed,3.6,19,Resolved
CR000093,Jaipur,26.9368,75.7579,Domestic Violence,2024-01-02,2024,1,Tuesday,13,Residential,3.2,30,Open
CR000094,Mumbai,19.0726,72.8758,Fraud,2024-01-28,2024,1,Sunday,11,Industrial,3.4,28,Resolved
CR000095,Kolkata,22.5645,88.4054,Burglary,2025-08-27,2025,8,Wednesday,12,Commercial,2.7,25,Resolved
CR000096,Delhi,28.66,77.1739,Burglary,2024-07-10,2024,7,Wednesday,16,Industrial,2.6,5,Resolved
CR000097,Pune,18.5131,73.8867,Burglary,2023-12-29,2023,12,Friday,11,Commercial,2.1,20,Resolved
CR000098,Mumbai,19.0554,72.8991,Robbery,2024-06-14,2024,6,Friday,15,Commercial,3.2,8,Resolved
CR000099,Pune,18.565,73.844,Theft,2025-05-20,2025,5,Tuesday,14,Mixed,2.1,36,Under Investigation
CR000100,Ahmedabad,22.9752,72.5436,Theft,2024-08-12,2024,8,Monday,16,Residential,3.8,41,Resolved
CR000101,Delhi,28.6196,77.2311,Domestic Violence,2025-08-02,2025,8,Saturday,18,Industrial,4.6,20,Resolved
CR000102,Chennai,13.0468,80.2613,Burglary,2025-10-22,2025,10,Wednesday,17,Residential,4.2,23,Resolved
CR000103,Bangalore,12.9799,77.5867,Fraud,2023-11-20,2023,11,Monday,13,Commercial,2.8,7,Resolved
CR000104,Kolkata,22.585,88.3548,Assault,2025-03-17,2025,3,Monday,20,Commercial,2.7,26,Under Investigation
CR000105,Delhi,28.6507,77.2077,Fraud,2025-06-23,2025,6,Monday,11,Residential,3.5,18,Under Investigation
CR000106,Mumbai,19.0893,72.8535,Theft,2025-03-08,2025,3,Saturday,14,Residential,2.4,38,Resolved
CR000107,Hyderabad,17.4264,78.4485,Assault,2025-09-25,2025,9,Thursday,16,Commercial,4.0,16,Resolved
CR000108,Lucknow,26.8107,80.9226,Theft,2025-05-14,2025,5,Wednesday,12,Residential,3.9,11,Resolved
CR000109,Delhi,28.6058,77.1973,Robbery,2024-04-01,2024,4,Monday,14,Residential,4.9,40,Under Investigation
CR000110,Chennai,13.1164,80.2644,Fraud,2025-04-25,2025,4,Friday,13,Commercial,3.7,28,Open
CR000111,Chennai,13.0811,80.2477,Robbery,2024-07-19,2024,7,Friday,17,Commercial,2.2,38,Under Investigation
CR000112,Mumbai,19.0367,72.8352,Assault,2025-03-26,2025,3,Wednesday,18,Residential,3.8,43,Resolved
CR000113,Mumbai,19.1059,72.8972,Theft,2024-05-23,2024,5,Thursday,14,Industrial,2.3,21,Open
CR000114,Pune,18.5225,73.8154,Vandalism,2024-11-24,2024,11,Sunday,18,Industrial,4.4,41,Under Investigation
CR000115,Hyderabad,17.4331,78.527,Assault,2024-04-06,2024,4,Saturday,23,Industrial,4.8,36,Under Investigation
CR000116,Pune,18.5703,73.8623,Robbery,2024-10-03,2024,10,Thursday,6,Residential,4.1,12,Open
CR000117,Pune,18.5499,73.8812,Theft,2024-09-22,2024,9,Sunday,16,Commercial,3.9,35,Resolved
CR000118,Mumbai,19.1145,72.8807,Burglary,2024-10-30,2024,10,Wednesday,16,Mixed,4.4,33,Under Investigation
CR000119,Mumbai,19.078,72.8704,Fraud,2024-08-05,2024,8,Monday,5,Commercial,4.6,17,Resolved
CR000120,Bangalore,12.9286,77.5455,Theft,2024-07-09,2024,7,Tuesday,6,Mixed,3.4,14,Resolved
CR000121,Pune,18.5227,73.8799,Theft,2024-08-26,2024,8,Monday,14,Mixed,2.9,22,Resolved
CR000122,Jaipur,26.8901,75.8283,Theft,2024-09-25,2024,9,Wednesday,14,Mixed,4.0,41,Under Investigation
CR000123,Hyderabad,17.4332,78.5251,Assault,2025-08-28,2025,8,Thursday,17,Mixed,2.5,8,Resolved
CR000124,Kolkata,22.6064,88.337,Domestic Violence,2024-10-28,2024,10,Monday,12,Commercial,2.5,7,Under Investigation
CR000125,Chennai,13.0385,80.3176,Fraud,2025-07-22,2025,7,Tuesday,17,Industrial,3.6,39,Under Investigation
CR000126,Delhi,28.5793,77.2406,Theft,2025-07-01,2025,7,Tuesday,19,Mixed,2.1,18,Under Investigation
CR000127,Jaipur,26.9015,75.7646,Robbery,2025-04-17,2025,4,Thursday,22,Residential,4.6,19,Under Investigation
CR000128,Chennai,13.1062,80.2488,Theft,2025-09-21,2025,9,Sunday,12,Commercial,4.2,22,Resolved
CR000129,Chennai,13.1318,80.2269,Fraud,2024-12-15,2024,12,Sunday,17,Mixed,4.5,44,Under Investigation
CR000130,Delhi,28.6518,77.2387,Assault,2024-11-10,2024,11,Sunday,10,Residential,2.5,29,Open
CR000131,Kolkata,22.5845,88.3892,Theft,2024-04-20,2024,4,Saturday,21,Industrial,2.1,14,Under Investigation
CR000132,Chennai,13.1071,80.2368,Domestic Violence,2023-11-11,2023,11,Saturday,19,Commercial,2.8,36,Resolved
CR000133,Delhi,28.6199,77.1706,Burglary,2024-08-07,2024,8,Wednesday,16,Commercial,4.3,23,Under Investigation
CR000134,Lucknow,26.8399,80.9802,Burglary,2024-11-28,2024,11,Thursday,22,Mixed,2.3,24,Under Investigation
CR000135,Mumbai,19.1207,72.8443,Domestic Violence,2024-09-23,2024,9,Monday,16,Commercial,3.0,22,Under Investigation
CR000136,Kolkata,22.5874,88.3733,Burglary,2025-09-30,2025,9,Tuesday,5,Industrial,3.0,36,Under Investigation
CR000137,Lucknow,26.7968,80.9121,Robbery,2024-05-31,2024,5,Friday,15,Industrial,3.4,19,Under Investigation
CR000138,Kolkata,22.6066,88.3912,Theft,2024-07-27,2024,7,Saturday,12,Mixed,4.9,32,Under Investigation
CR000139,Chennai,13.0966,80.2605,Theft,2024-10-07,2024,10,Monday,13,Commercial,3.0,19,Under Investigation
CR000140,Bangalore,12.9247,77.6098,Burglary,2025-01-31,2025,1,Friday,15,Mixed,3.6,29,Under Investigation
CR000141,Chennai,13.0481,80.2661,Robbery,2025-04-13,2025,4,Sunday,17,Residential,2.4,28,Open
CR000142,Bangalore,12.9401,77.5908,Theft,2024-07-31,2024,7,Wednesday,9,Mixed,4.1,13,Resolved
CR000143,Jaipur,26.8785,75.8025,Burglary,2024-10-08,2024,10,Tuesday,19,Residential,2.9,21,Resolved
CR000144,Mumbai,19.094,72.8673,Vandalism,2025-05-16,2025,5,Friday,13,Residential,4.1,42,Open
CR000145,Hyderabad,17.4099,78.4513,Theft,2025-09-13,2025,9,Saturday,10,Commercial,3.5,32,Under Investigation
CR000146,Lucknow,26.8743,80.9903,Theft,2025-03-18,2025,3,Tuesday,8,Residential,3.1,17,Resolved
CR000147,Hyderabad,17.3672,78.5344,Theft,2025-06-29,2025,6,Sunday,19,Industrial,2.6,44,Under Investigation
CR000148,Bangalore,13.0112,77.6041,Assault,2025-03-20,2025,3,Thursday,16,Mixed,4.1,12,Under Investigation
CR000149,Kolkata,22.5565,88.3954,Theft,2025-08-06,2025,8,Wednesday,16,Commercial,3.8,30,Resolved
CR000150,Jaipur,26.8788,75.7812,Assault,2025-10-17,2025,10,Friday,12,Residential,2.5,23,Open
CR000151,Kolkata,22.597,88.4011,Burglary,2025-01-14,2025,1,Tuesday,15,Commercial,3.7,23,Resolved
CR000152,Ahmedabad,23.07,72.5864,Theft,2025-09-24,2025,9,Wednesday,11,Industrial,3.3,37,Under Investigation
CR000153,Delhi,28.6507,77.2317,Assault,2024-09-20,2024,9,Friday,17,Commercial,4.2,24,Resolved
CR000154,Mumbai,19.1127,72.8856,Burglary,2025-07-04,2025,7,Friday,14,Industrial,3.8,38,Under Investigation
CR000155,Pune,18.4981,73.8659,Fraud,2025-02-03,2025,2,Monday,14,Residential,3.4,19,Resolved
CR000156,Lucknow,26.8683,80.9871,Theft,2024-05-21,2024,5,Tuesday,23,Residential,2.5,42,Resolved
CR000157,Hyderabad,17.4221,78.4812,Robbery,2025-08-06,2025,8,Wednesday,17,Industrial,2.5,29,Open
CR000158,Mumbai,19.1118,72.8286,Assault,2024-07-26,2024,7,Friday,9,Industrial,4.9,35,Resolved
CR000159,Bangalore,12.9658,77.5777,Burglary,2024-11-02,2024,11,Saturday,15,Industrial,2.7,16,Under Investigation
CR000160,Hyderabad,17.3518,78.4404,Assault,2025-04-08,2025,4,Tuesday,15,Mixed,4.5,32,Under Investigation
CR000161,Hyderabad,17.3556,78.4479,Theft,2024-01-26,2024,1,Friday,9,Commercial,2.7,33,Under Investigation
CR000162,Bangalore,12.9668,77.638,Burglary,2023-12-08,2023,12,Friday,6,Residential,2.4,28,Under Investigation
CR000163,Mumbai,19.0583,72.925,Assault,2025-04-28,2025,4,Monday,16,Mixed,3.5,42,Resolved
CR000164,Kolkata,22.5931,88.3341,Assault,2024-11-22,2024,11,Friday,8,Mixed,4.0,42,Under Investigation
CR000165,Hyderabad,17.3605,78.5029,Vandalism,2024-08-28,2024,8,Wednesday,18,Residential,3.5,30,Under Investigation
CR000166,Ahmedabad,23.0494,72.5327,Domestic Violence,2025-10-28,2025,10,Tuesday,11,Residential,4.0,9,Resolved
CR000167,Mumbai,19.1259,72.8325,Vandalism,2023-12-18,2023,12,Monday,23,Residential,4.3,17,Resolved
CR000168,Kolkata,22.5877,88.3904,Fraud,2025-10-10,2025,10,Friday,19,Residential,4.3,27,Resolved
CR000169,Delhi,28.5759,77.2134,Theft,2024-01-13,2024,1,Saturday,17,Industrial,3.8,25,Resolved
CR000170,Jaipur,26.922,75.7919,Burglary,2025-07-19,2025,7,Saturday,8,Commercial,3.8,18,Under Investigation
CR000171,Jaipur,26.9004,75.8236,Robbery,2024-08-01,2024,8,Thursday,21,Residential,4.4,16,Resolved
CR000172,Chennai,13.0573,80.2684,Burglary,2024-11-20,2024,11,Wednesday,20,Industrial,4.2,25,Resolved
CR000173,Pune,18.5601,73.8138,Vandalism,2023-11-14,2023,11,Tuesday,14,Residential,2.6,26,Resolved
CR000174,Kolkata,22.5483,88.3424,Burglary,2025-05-26,2025,5,Monday,16,Mixed,2.9,34,Under Investigation
CR000175,Delhi,28.6616,77.2413,Robbery,2025-02-08,2025,2,Saturday,18,Residential,2.5,35,Under Investigation
CR000176,Ahmedabad,23.0518,72.5399,Fraud,2025-08-06,2025,8,Wednesday,15,Residential,4.4,17,Under Investigation
CR000177,Hyderabad,17.3865,78.4961,Domestic Violence,2025-10-19,2025,10,Sunday,10,Commercial,3.1,12,Under Investigation
CR000178,Delhi,28.5876,77.2371,Theft,2024-05-16,2024,5,Thursday,20,Residential,4.0,22,Under Investigation
CR000179,Lucknow,26.8419,80.9549,Theft,2024-07-03,2024,7,Wednesday,21,Residential,3.4,21,Resolved
CR000180,Chennai,13.0969,80.2814,Robbery,2024-01-18,2024,1,Thursday,12,Residential,3.9,29,Open
CR000181,Bangalore,12.9813,77.6122,Burglary,2024-01-31,2024,1,Wednesday,18,Industrial,4.1,28,Resolved
CR000182,Bangalore,12.9819,77.5783,Fraud,2024-02-16,2024,2,Friday,8,Residential,2.3,40,Resolved
CR000183,Ahmedabad,23.0092,72.5558,Assault,2024-04-16,2024,4,Tuesday,20,Mixed,4.0,31,Under Investigation
CR000184,Ahmedabad,23.0605,72.5865,Robbery,2024-10-13,2024,10,Sunday,15,Commercial,2.6,27,Resolved
CR000185,Hyderabad,17.3908,78.5098,Robbery,2025-02-07,2025,2,Friday,16,Residential,2.3,17,Under Investigation
CR000186,Jaipur,26.8794,75.7782,Burglary,2025-09-04,2025,9,Thursday,19,Mixed,3.0,12,Under Investigation
CR000187,Pune,18.5103,73.8219,Murder,2025-02-23,2025,2,Sunday,16,Residential,4.5,24,Under Investigation
CR000188,Mumbai,19.1048,72.9142,Assault,2024-07-26,2024,7,Friday,19,Commercial,4.1,40,Resolved
CR000189,Mumbai,19.0602,72.8658,Burglary,2024-08-06,2024,8,Tuesday,13,Industrial,3.2,30,Under Investigation
CR000190,Pune,18.4866,73.8853,Assault,2024-12-17,2024,12,Tuesday,20,Industrial,2.6,42,Under Investigation
CR000191,Bangalore,12.989,77.5978,Assault,2025-08-23,2025,8,Saturday,19,Residential,2.9,19,Resolved
CR000192,Mumbai,19.0414,72.8501,Vandalism,2025-02-05,2025,2,Wednesday,20,Commercial,2.4,37,Open
CR000193,Delhi,28.6245,77.2355,Theft,2024-07-03,2024,7,Wednesday,14,Residential,2.4,38,Resolved
CR000194,Mumbai,19.0766,72.851,Theft,2025-10-17,2025,10,Friday,23,Residential,3.3,35,Resolved
CR000195,Mumbai,19.0538,72.9128,Theft,2025-09-16,2025,9,Tuesday,17,Industrial,4.0,35,Resolved
CR000196,Bangalore,12.9408,77.5658,Robbery,2023-12-09,2023,12,Saturday,7,Residential,4.1,27,Resolved
CR000197,Bangalore,12.9291,77.6229,Theft,2025-02-08,2025,2,Saturday,18,Mixed,2.2,8,Open
CR000198,Delhi,28.5872,77.1811,Theft,2024-09-04,2024,9,Wednesday,16,Industrial,3.3,41,Under Investigation
CR000199,Bangalore,12.9584,77.586,Domestic Violence,2024-03-10,2024,3,Sunday,22,Commercial,2.7,31,Resolved
CR000200,Hyderabad,17.361,78.5127,Theft,2024-09-01,2024,9,Sunday,17,Commercial,3.0,25,Resolved
CR000201,Chennai,13.1287,80.2695,Theft,2023-11-29,2023,11,Wednesday,17,Mixed,3.5,30,Resolved
CR000202,Mumbai,19.0585,72.9014,Robbery,2024-08-19,2024,8,Monday,20,Commercial,3.2,17,Resolved
CR000203,Delhi,28.6298,77.2533,Domestic Violence,2024-04-17,2024,4,Wednesday,12,Commercial,4.5,44,Resolved
CR000204,Pune,18.5363,73.8962,Assault,2025-08-11,2025,8,Monday,21,Residential,3.4,23,Resolved
CR000205,Delhi,28.6082,77.1638,Theft,2025-08-03,2025,8,Sunday,18,Mixed,2.2,39,Resolved
CR000206,Chennai,13.0836,80.2595,Robbery,2025-03-15,2025,3,Saturday,13,Industrial,4.3,32,Resolved
CR000207,Lucknow,26.8065,80.9622,Domestic Violence,2024-12-13,2024,12,Friday,15,Mixed,2.2,32,Under Investigation
CR000208,Ahmedabad,23.0494,72.5839,Burglary,2024-04-16,2024,4,Tuesday,12,Residential,2.8,29,Resolved
CR000209,Mumbai,19.0582,72.8402,Robbery,2024-10-20,2024,10,Sunday,15,Mixed,4.8,36,Under Investigation
CR000210,Mumbai,19.0388,72.8615,Fraud,2025-04-29,2025,4,Tuesday,8,Commercial,3.1,29,Resolved
CR000211,Kolkata,22.5467,88.3261,Theft,2023-12-13,2023,12,Wednesday,3,Commercial,5.0,36,Resolved
CR000212,Pune,18.5551,73.8986,Theft,2024-09-27,2024,9,Friday,11,Commercial,4.9,44,Resolved
CR000213,Pune,18.536,73.8244,Robbery,2025-03-08,2025,3,Saturday,12,Residential,3.6,22,Resolved
CR000214,Chennai,13.1053,80.3025,Theft,2024-09-17,2024,9,Tuesday,20,Industrial,4.2,41,Resolved
CR000215,Ahmedabad,23.0337,72.532,Theft,2025-09-29,2025,9,Monday,21,Mixed,3.9,41,Resolved
CR000216,Lucknow,26.8525,80.9774,Assault,2024-06-01,2024,6,Saturday,23,Mixed,2.3,38,Resolved
CR000217,Lucknow,26.8709,80.9777,Assault,2025-08-24,2025,8,Sunday,14,Mixed,4.4,40,Resolved
CR000218,Lucknow,26.8807,80.9795,Theft,2024-02-04,2024,2,Sunday,22,Industrial,3.1,20,Resolved
CR000219,Pune,18.5174,73.8569,Theft,2024-02-14,2024,2,Wednesday,15,Mixed,4.2,39,Resolved
CR000220,Hyderabad,17.3763,78.5063,Theft,2025-09-21,2025,9,Sunday,10,Residential,2.5,24,Resolved
CR000221,Pune,18.5185,73.8709,Theft,2024-11-27,2024,11,Wednesday,11,Mixed,4.1,28,Under Investigation
CR000222,Mumbai,19.0862,72.83,Burglary,2024-12-14,2024,12,Saturday,8,Residential,2.2,16,Under Investigation
CR000223,Hyderabad,17.356,78.5192,Robbery,2023-12-14,2023,12,Thursday,10,Industrial,3.0,37,Resolved
CR000224,Kolkata,22.5289,88.394,Domestic Violence,2025-07-03,2025,7,Thursday,17,Mixed,3.3,24,Under Investigation
CR000225,Hyderabad,17.4341,78.5114,Assault,2024-03-06,2024,3,Wednesday,16,Residential,2.6,14,Resolved
CR000226,Delhi,28.6225,77.2176,Assault,2024-04-14,2024,4,Sunday,22,Commercial,2.8,30,Under Investigation
CR000227,Chennai,13.0808,80.2642,Fraud,2024-11-07,2024,11,Thursday,10,Industrial,2.2,43,Resolved
